,Unnamed: 0.1,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
0,0,0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,2,1,3414.64
1,1,1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1,4,3,769.3
2,2,2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,2,3,1458.91
3,3,3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,3,4,7826.38
4,4,4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,4,3,1,14691.37
5,5,5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,2,0,3,13397.28
6,6,6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4,3,1,4457.96
7,7,7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,5,2,2503.67
8,8,8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,1,3,2343.58
9,9,9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4,2,7,3473.7
10,10,10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,1,6,3,6324.42
11,11,11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,4,3,5,757.88
12,12,12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,4,0,5,1420.14
13,13,13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,6,3,945.56
14,14,14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,0,6,3,1612.46
15,15,15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,4,5,2,1397.14
16,16,16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1,1,2,398.14
17,17,17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,15893.78
18,18,18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,4,2,4119.82
